date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:17	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:16%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-15/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-15/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-15/)
16:31:17	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:16%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-16/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-16/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-16/)
16:31:17	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:17%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-17/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-17/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-17/)
16:31:18	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:17%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-18/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-18/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-18/)
16:31:18	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:17%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-19/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-19/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-19/)
16:31:18	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:17%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-20/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-20/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-20/)
16:31:19	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:18%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-21/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-21/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-21/)
16:31:19	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:18%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-22/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-22/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-22/)
16:31:19	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:18%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-23/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-23/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-23/)
16:31:20	3178/3178	---M--	200	added ('OK')	text/calendar	date:Wed,%2017%20Aug%202016%2013:31:19%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2016-04-24/?ical=1/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2016-04-24/index1125.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2016-04-24/)
16:31:21	94937/94937	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2013:31:20%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2017-01-02/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2017-01-02/index.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2017-01/)
16:31:21	94937/94937	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2013:31:20%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2017-01-03/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2017-01-03/index.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2017-01/)
16:31:21	94937/94937	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2013:31:20%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2017-01-04/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2017-01-04/index.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2017-01/)
16:31:23	94937/94937	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2013:31:21%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2017-01-06/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2017-01-06/index.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2017-01/)
16:31:23	94937/94937	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2013:31:21%20GMT	http://dance-studio.cmsmasters.net/events/category/festival/2017-01-05/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/events/category/festival/2017-01-05/index.html	(from http://dance-studio.cmsmasters.net/events/category/festival/2017-01/)
